ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2008,7,RAUCO,ESPINOZA ELGUETA SILVIA,RN,2912,5620,51.81
2008,7,RETIRO,CONTRERAS CONTRERAS JUAN PATRICIO,DC,4472,8786,50.90
2008,7,RIO CLARO,GUAJARDO OYARCE CLAUDIO ARTURO,RN,4301,6059,70.99
2008,7,ROMERAL,CISTERNA NEGRETE CARLOS GABRIEL,DC,3423,7232,47.33
2008,7,SAGRADA FAMILIA,MELENDEZ ROJAS FRANCISCO,PS,4780,8873,53.87
2008,7,SAN CLEMENTE,GALVEZ REBOLLEDO OSCAR RAMON,RN,8927,17609,50.70
2008,7,SAN JAVIER,FERNANDEZ CHAVARRI PEDRO PABLO,DC,12216,18942,64.49
2008,7,SAN RAFAEL,POBLETE YAÑEZ PATRICIO,UDI,2386,4715,50.60
2008,7,TALCA,CASTRO PRIETO JUAN,IND,31798,79376,40.06
2008,7,TENO,VALENZUELA PEREZ SANDRA,UDI,6729,11692,57.55
2008,7,VICHUQUEN,PAVEZ LOPEZ ROMAN,PPD,1293,3393,38.11
2008,7,VILLA ALEGRE,PALMA VILCHES ARTURO,PPD,4595,7599,60.47
2008,7,YERBAS BUENAS,GUZMAN TRUJILLO LUIS,PRSD,3025,7576,39.93
2008,8,ALTO BIOBIO,VITA MANQUEPI FELIX,PPD,890,2190,40.64
2008,8,ANTUCO,SOLAR JARA CLAUDIO,DC,1439,2359,61.00
2008,8,ARAUCO,ALARCON GUZMAN MAURICIO,IND,6113,15281,40.00
2008,8,BULNES,DE LA PUENTE ACUÑA RODRIGO,IND,3834,11025,34.78
2008,8,CABRERO,SABAG CASTILLO HASAN,DC,8388,12071,69.49
2008,8,CAÑETE,RADONICH BARRA JORGE,IND,9250,12979,71.27
2008,8,CHIGUAYANTE,SOLIS NOVA TOMAS,PS,15756,26991,58.38
2008,8,CHILLAN,ZARZAR ANDONIE SERGIO,IND,43425,67820,64.03
2008,8,CHILLAN VIEJO,AYLWIN LAGOS FELIPE,IND,5587,9938,56.22
2008,8,COBQUECURA,FUENTES ALARCON JULIO,PRSD,2079,3671,56.63
2008,8,COELEMU,ARAVENA ALARCON LAURA,IND,5316,8774,60.59
2008,8,COIHUECO,JIMENEZ VENEGAS ARNOLDO,PPD,5172,11268,45.90
2008,8,CONCEPCION,VAN RYSSELBERGHE HERRERA JACQUELINE,UDI,60889,95949,63.46
2008,8,CONTULMO,AGUAYO THIELE EDUARDO,UDI,2017,3281,61.48
2008,8,CORONEL,ROMERO SAEZ LEONIDAS,IND,16789,39845,42.14
2008,8,CURANILAHUE,BENITEZ SILVA AHIMALEC,DC,5112,15138,33.77
2008,8,EL CARMEN,DIAZ GONZALEZ JUAN,IND,3090,7053,43.81
2008,8,FLORIDA,VERGARA REYES JUAN,IND,1641,6386,25.70
2008,8,HUALPEN,RIVERA ARANCIBIA MARCELO,PPD,29389,40139,73.22
2008,8,HUALQUI,FUENTES PALMA RICARDO,IND,4820,10277,46.90
2008,8,LAJA,FICA TOLEDO VLADIMIR,IND,6351,11095,57.24
2008,8,LEBU,GONZALEZ ANJARI CARLOS,PS,5042,10655,47.32
2008,8,LOS ALAMOS,MELITA VINETT LAUTARO,PS,4451,8874,50.16
2008,8,LOS ANGELES,ROSALES GUZMAN JOEL,UDI,33739,65897,51.20
2008,8,LOTA,VENEGAS TRONCOSO JORGE,IND,10015,26968,37.14
2008,8,MULCHEN,JARA DELGADO FRANCISCO,UDI,5653,13191,42.85
2008,8,NACIMIENTO,MONTES CISTERNAS GERARDO,PS,6728,11993,56.10
2008,8,NEGRETE,VON-JENTSCHYK CRUZ EDWIN,PS,2230,4576,48.73
2008,8,NINHUE,MOLINA MELO LUIS,DC,1962,3883,50.53
2008,8,ÑIQUEN,GARRIDO TORRES DOMINGO,PPD,3871,6015,64.36
2008,8,PEMUCO,MUÑOZ SALAZAR JULIO,DC,2657,4858,54.69
2008,8,PENCO,CACERES COLLAO GUILLERMO,IND,8529,22773,37.45
2008,8,PINTO,CHAVEZ GUIÑEZ FERNANDO,UDI,3888,6835,56.88
2008,8,PORTEZUELO,SEPULVEDA ANDRADE MODESTO,DC,1824,3589,50.82
2008,8,QUILACO,BARRUETO VIVEROS FREDY,PRI,1021,2742,37.24
2008,8,QUILLECO,TAPIA AVELLO RODRIGO,IND,1750,5564,31.45
2008,8,QUILLON,CATALAN SALDIAS JAIME,DC,4454,8370,53.21
2008,8,QUIRIHUE,IRRIBARRA DE LA TORRE TOMAS,PRSD,3604,6568,54.87
2008,8,RANQUIL,GARRIDO CARCAMO CARLOS,UDI,1532,3748,40.88
2008,8,SAN CARLOS,GEBRIE ASFURA HUGO,RN,14080,23339,60.33
2008,8,SAN FABIAN,FERNANDEZ GOMEZ CRISTIAN,PPD,935,3060,30.56
2008,8,SAN IGNACIO,OLIVARES BUSTAMANTE WILSON,PRSD,3754,7807,48.09
2008,8,SAN NICOLAS,TORO LEIVA VICTOR,DC,3025,6214,48.68
2008,8,SAN PEDRO DE LA PAZ,RETAMAL LAZO AUDITO,IND,10986,29874,36.77
2008,8,SAN ROSENDO,VALENZUELA MARTINEZ DUVERLIS,RN,1307,2901,45.05
2008,8,SANTA BARBARA,IRAIRA SAGREDO DANIEL,IND,4091,6252,65.44
2008,8,SANTA JUANA,CASTRO MEDINA ANGEL,DC,5765,6721,85.78
2008,8,TALCAHUANO,SAAVEDRA CHANDIA GASTON,IND,27886,63464,43.94
2008,8,TIRUA,ANIÑIR LEPICHEO JOSE,RN,2305,4347,53.03
2008,8,TOME,AGUILERA AGUILERA EDUARDO,DC,10358,26338,39.33
2008,8,TREGUACO,CUEVAS IBARRA LUIS,IND,2108,3885,54.26
2008,8,TUCAPEL,VELOSO JARA JAIME,RN,5033,6978,72.13
2008,8,YUMBEL,CABEZAS VEGA CAMILO ENRIQUE,PH,5421,11418,47.48
2008,8,YUNGAY,INOSTROZA VALENZUELA PEDRO,IND,2877,8414,34.19
2008,9,ANGOL,NEIRA NEIRA JOSE ENRIQUE,IND,9014,22427,40.19
2008,9,CARAHUE,FIGUEROA RAMIREZ HECTOR,UDI,5836,11930,48.92
2008,9,CHOLCHOL,CEA VILLALOBOS VIOLETA,UDI,1996,5454,36.60
2008,9,COLLIPULLI,ROSALES NEIRA LEOPOLDO,PS,6375,10561,60.36
