ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2004,7,LONGAVI,BRIONES ARAICE MARIO ANTONIO,PPD,8009,14249,56.21
2004,7,MAULE,FAUNDEZ CACERES FRESIA,PDC,3481,8392,41.48
2004,7,MOLINA,CARRASCO SOTO JUAN,IND,10956,20090,54.53
2004,7,PARRAL,URRUTIA ESCOBAR ISRAEL ANTONIO,PDC,9713,19818,49.01
2004,7,PELARCO,PEREZ LEIVA ALFREDO,IND,1678,4718,35.57
2004,7,PELLUHUE,REYES ORELLANA MARIA LUZ,RN,2082,4691,44.38
2004,7,PENCAHUE,LEAL GOMEZ ANDRES,PDC,3022,6570,46.00
2004,7,RAUCO,ESPINOZA ELGUETA SILVIA,RN,2727,5545,49.18
2004,7,RETIRO,CONTRERAS CONTRERAS JUAN PATRICIO,PDC,5173,9004,57.45
2004,7,RIO CLARO,GONZALEZ GONZALEZ ISABEL,PS,2552,5862,43.53
2004,7,ROMERAL,CISTERNA NEGRETE CARLOS GABRIEL,PDC,4385,6885,63.69
2004,7,SAGRADA FAMILIA,MELENDEZ ROJAS FRANCISCO,PS,6138,8844,69.40
2004,7,SAN CLEMENTE,ROJAS VERGARA JUAN,PDC,11505,17902,64.27
2004,7,SAN JAVIER,FERNANDEZ CHAVARRI PEDRO PABLO,PDC,9547,20041,47.64
2004,7,SAN RAFAEL,WETTKE PFEIFER GUNTHER,PDC,2605,4426,58.86
2004,7,TALCA,HERRERA BLANCO PATRICIO,PS,38676,77699,49.78
2004,7,TENO,MELLADO CRUZ RENE MANUEL,IND,5460,11663,46.81
2004,7,VICHUQUEN,CARDOEN DELANO DIEGO,IND,1676,3725,44.99
2004,7,VILLA ALEGRE,PALMA VILCHES ARTURO,PPD,4449,7841,56.74
2004,7,YERBAS BUENAS,CADEGAN MORAN LUIS,PRSD,5775,7573,76.26
2004,8,ALTO BIOBIO,VITA MANQUEPI FELIX,IND,692,1839,37.63
2004,8,ANTUCO,SOLAR JARA CLAUDIO,PDC,1809,2198,82.30
2004,8,ARAUCO,GAYOSO MONSALVE JAIME,PRSD,7039,14430,48.78
2004,8,BULNES,HIDALGO OÑATE JORGE,PS,6491,11102,58.47
2004,8,CABRERO,SABAG CASTILLO HASAN,PDC,9119,12275,74.29
2004,8,CAÑETE,RADONICH BARRA JORGE,IND,6742,13456,50.10
2004,8,CHIGUAYANTE,SOLIS NOVA TOMAS,PS,17162,25962,66.10
2004,8,CHILLAN,BERNUCCI DIAZ ALDO DINO,PRSD,32528,64549,50.39
2004,8,CHILLAN VIEJO,SAN MARTIN CHANDIA JULIO,PDC,4048,8989,45.03
2004,8,COBQUECURA,FUENTES ALARCON JULIO,PRSD,1853,3650,50.77
2004,8,COELEMU,ROMERO SEGUEL EUGENIA,PDC,3782,8890,42.54
2004,8,COIHUECO,JIMENEZ VENEGAS ARNOLDO,IND,3572,11424,31.27
2004,8,CONCEPCION,VAN RYSSELBERGHE HERRERA JACQUELINE,UDI,55925,99071,56.45
2004,8,CONTULMO,AGUAYO THIELE EDUARDO,UDI,1526,3189,47.85
2004,8,CORONEL,CARVAJAL ZUÑIGA RENE,PS,23416,39297,59.59
2004,8,CURANILAHUE,BENITEZ SILVA AHIMALEC,PDC,9004,15553,57.89
2004,8,EL CARMEN,FERIS FERRADA ALEX,PDC,3285,7313,44.92
2004,8,FLORIDA,MUÑOZ CABEZAS DOMINGO,PS,2363,6327,37.35
